"estimate","lower","upper","Year"
64.5378706439145,52.4499208599347,76.6258204278943,1
307.377635843441,292.148992608439,322.606279078442,2
319.393417381182,307.487953518777,331.298881243586,3
142.206943289747,131.2352326513,153.178653928194,4
169.69128678223,160.37605852154,179.006515042919,5
280.56119702885,270.304700498767,290.817693558932,6
164.846512520046,151.152447431097,178.540577608995,7
291.995212611266,276.590063208958,307.400362013573,8
45.3954412809596,33.8174038684156,56.9734786935037,9
98.3703051823316,79.1590257853654,117.581584579298,10
189.55242107168,170.045295785885,209.059546357476,11
371.190412643026,349.437037320919,392.943787965133,12
105.630563005346,88.0380135745651,123.223112436128,13
433.205640376499,415.285633785379,451.125646967619,14
65.0264117663833,52.0832655217135,77.9695580110531,15
501.776815599267,481.220485295297,522.333145903237,16
146.729688805489,132.517440314423,160.941937296555,17
245.249087683223,231.818679710046,258.6794956564,18
9.15204598707968,5.76011641404739,12.543975560112,19
21.5915897003196,3.99554222320513,39.1876371774341,20
