"AgeGroup","Year","estimate","lower","upper"
1,1,0.0917240311587713,0.0610850857117312,0.122362976605811
2,1,0.0937491974524729,0.0529150636013965,0.134583331303549
3,1,0.0919784467035009,0.0501091675827548,0.133847725824247
4,1,0.0915303218272019,0.0400914928253893,0.142969150829015
5,1,0.112824868907451,0.0373899887790853,0.188259749035818
6,1,0.138355153348915,0.0308562513995406,0.24585405529829
7,1,0.164560743474579,0.0247490980301056,0.304372388919052
8,1,0.175910886297506,0.00576523859663769,0.346056533998375
9,1,0.172497880731117,-0.0222536983306281,0.367249459792862
10,1,0.163006881772497,-0.0463317868504311,0.372345550395425
11,1,0.153593016310699,-0.0625970920397274,0.369783124661126
12,1,0.145045250913158,-0.0715201518878049,0.36161065371412
13,1,0.137839210512993,-0.0755831210168171,0.351261542042804
14,1,0.132236836644215,-0.0776283386456278,0.342102011934057
15,1,0.128247912544565,-0.0788274125029213,0.335323237592051
1,2,0.371458135049777,0.33207031097632,0.410845959123235
2,2,0.385621802112159,0.324500290384414,0.446743313839903
3,2,0.386474207715082,0.245664390669194,0.52728402476097
4,2,0.360816372803462,0.203944193963776,0.517688551643148
5,2,0.414404157522367,0.189493985062827,0.639314329981908
6,2,0.451341516091857,0.145037067412848,0.757645964770867
7,2,0.469373818319989,0.112447859604173,0.826299777035805
8,2,0.427286611003764,0.0444508444917124,0.810122377515816
9,2,0.3544688256322,-0.0302877261998524,0.739225377464253
10,2,0.287498225813146,-0.0753571032037457,0.650353554830038
11,2,0.238095781143284,-0.0942770486979174,0.570468610984485
12,2,0.202990654360443,-0.0994238182360185,0.505405126956905
13,2,0.178111596632755,-0.0979032134370229,0.454126406702533
14,2,0.160377823294138,-0.094198499533622,0.414954146121898
15,2,0.148215697577737,-0.0910289804149793,0.387460375570453
1,3,0.471599797777854,0.42800280249878,0.515196793056928
2,3,0.483067403738718,0.416246132339878,0.549888675137558
3,3,0.492568212577042,0.373813291394144,0.61132313375994
4,3,0.443720102318997,0.209278218945731,0.678161985692263
5,3,0.517184780120412,0.265582234170305,0.768787326070519
6,3,0.563663375920637,0.204975412318169,0.922351339523105
7,3,0.581240069469187,0.148597476551549,1.01388266238682
8,3,0.523900377893717,0.0527864049331094,0.995014350854325
9,3,0.423739783488269,-0.0354282480483396,0.882907815024877
10,3,0.333306461813688,-0.0853537284275637,0.75196665205494
11,3,0.267814845378149,-0.104001401979446,0.639631092735743
12,3,0.222133907588766,-0.107137229336123,0.551405044513655
13,3,0.191168581120442,-0.104695749996498,0.487032912237381
14,3,0.16943007337187,-0.0997246989058949,0.438584845649636
15,3,0.154446773653102,-0.0949180093935486,0.403811556699752
1,4,0.21771898878928,0.18153420304189,0.25390377453667
2,4,0.223022662775477,0.163056398005956,0.282988927544998
3,4,0.228058131275414,0.154048187897743,0.302068074653086
4,4,0.205296965123467,0.10507289014306,0.305521040103875
5,4,0.243370920660036,0.0978751811174535,0.388866660202618
6,4,0.275436993471701,0.0964787573283224,0.45439522961508
7,4,0.312293495229747,0.0846483497604513,0.539938640699043
8,4,0.311493854730562,0.035842813553881,0.587144895907243
9,4,0.281601634011516,-0.0206971152172045,0.583900383240237
10,4,0.243634092916887,-0.05873042365807,0.545998609491843
11,4,0.211248109632453,-0.0785174829158942,0.501013702180801
12,4,0.185425401055567,-0.0865704060140831,0.457421208125216
13,4,0.166631237889809,-0.0890113317129417,0.422273807492559
14,4,0.152856339977385,-0.0887742795989443,0.394486959553714
15,4,0.14297119878354,-0.0872270885184108,0.373169486085491
1,5,0.2937265676298,0.248818247835285,0.338634887424315
2,5,0.299929888027727,0.242362345884776,0.357497430170679
3,5,0.312842009865364,0.198075718874891,0.427608300855836
4,5,0.276608723593278,0.148385177198797,0.404832269987759
5,5,0.323925360027903,0.153490627444644,0.494360092611163
6,5,0.357500299314919,0.107404643102881,0.607595955526957
7,5,0.395169225452391,0.115899427017995,0.674439023886787
8,5,0.373744808140964,0.0620035095521533,0.685486106729774
9,5,0.322516151306525,-0.0133180605748877,0.658350363187938
10,5,0.271823648716231,-0.0644269205361133,0.608074217968575
11,5,0.231162514025966,-0.0873093404699868,0.549634368521919
12,5,0.199121912196133,-0.0943548712030635,0.492598695595329
13,5,0.176015142486161,-0.0947961509640713,0.446826435936393
14,5,0.159145734237851,-0.0925409653847747,0.410832433860476
15,5,0.147360883924555,-0.0899601464431387,0.384681914292249
1,6,0.501364246044456,0.462640578664537,0.540087913424375
2,6,0.51180019314324,0.410012516273199,0.613587870013281
3,6,0.510338712755833,0.381959057759744,0.638718367751922
4,6,0.445237115545978,0.209907527419137,0.68056670367282
5,6,0.541303761711437,0.282756584480982,0.799850938941891
6,6,0.586411830963967,0.215774454965582,0.957049206962353
7,6,0.625444357377002,0.161556683993103,1.0893320307609
8,6,0.54374363895691,0.100371509621865,0.987115768291956
9,6,0.429409508691218,-0.00633443502045494,0.86515345240289
10,6,0.335857030650717,-0.074992191264014,0.746706252565449
11,6,0.272912834241738,-0.104924193437382,0.650749861920858
12,6,0.226701627475636,-0.110144900399659,0.56354815535093
13,6,0.194739102729788,-0.107136128953993,0.496614334413569
14,6,0.171873161402805,-0.101374801118146,0.445121123923756
15,6,0.156114058872155,-0.0960305059518746,0.408258623696185
1,7,0.232987775084521,0.198417671305221,0.267557878863821
2,7,0.24716404214205,0.192453180662659,0.30187490362144
3,7,0.246329914577862,0.144184695586627,0.348475133569097
4,7,0.204252598401748,0.104026495615309,0.304478701188188
5,7,0.248487869950945,0.107747665972389,0.389228073929501
6,7,0.27661055198614,0.0991400127951468,0.454081091177132
7,7,0.330362700325694,0.0987163955688412,0.562009005082547
8,7,0.311849796022491,0.0493874160597869,0.574312175985196
9,7,0.272056055323654,-0.004486699210487,0.548598809857795
10,7,0.232047251991818,-0.0488488356051625,0.512943339588799
11,7,0.20304095940396,-0.0742002395804213,0.480282158388342
12,7,0.180797075077655,-0.0863510379775996,0.447945188132909
13,7,0.164397349603366,-0.0901533123102321,0.418948011516965
14,7,0.151414185732849,-0.0893662239644854,0.392194595430183
15,7,0.141958332812328,-0.0873689274279079,0.371285593052563
1,8,0.35031595694417,0.312563251239199,0.38806866264914
2,8,0.366751088992726,0.311235838686618,0.422266339298834
3,8,0.382946581332177,0.263387709165772,0.502505453498582
4,8,0.319839233880176,0.129871612905455,0.509806854854896
5,8,0.382311912445593,0.183439757889766,0.58118406700142
6,8,0.39214493242301,0.126541516082071,0.657748348763949
7,8,0.445866390949268,0.138675485315046,0.75305729658349
8,8,0.376054607615009,0.0684490273049344,0.683660187925084
9,8,0.307266558095626,-0.0110873986622754,0.625620514853528
10,8,0.249950710096262,-0.0566797883552825,0.556581208547806
11,8,0.211203804296377,-0.078007259486828,0.500414868079582
12,8,0.183882810042191,-0.0870243532232749,0.454789973307656
13,8,0.166334814692659,-0.0915373471955332,0.424206976580852
14,8,0.152770461726575,-0.0906943156304353,0.396235239083586
15,8,0.142910951134199,-0.0882316841698178,0.374053586438215
1,9,0.0528049383168125,0.0287117220722589,0.0768981545613662
2,9,0.0499672622950479,0.0275504627138431,0.0723840618762526
3,9,0.0539727409666423,0.0271960342344611,0.0807494476988235
